2026-07-02T17:30:00Z,Engine1_Temperature,2450.5,K,OK
2026-07-02T17:30:01Z,Engine1_Temperature,2451.2,K,OK
2026-07-02T17:30:02Z,Engine1_Pressure,128.7,bar,OK
2026-07-02T17:30:03Z,Fuel_Tank_Pressure,45.2,bar,WARNING
2026-07-02T17:30:04Z,Altitude,12500.0,m,OK
2026-07-02T17:30:05Z,Velocity,8500.3,m/s,OK
2026-07-02T17:30:06Z,Engine2_Temperature,2448.9,K,OK
2026-07-02T17:30:07Z,Engine1_Temperature,2452.0,K,OK
2026-07-02T17:30:08Z,Engine1_Pressure,129.1,bar,OK
# This is a comment line and should be ignored by the parser
2026-07-02T17:30:09Z,Engine2_Temperature,2449.5,K,OK
2026-07-02T17:30:10Z,Altitude,12550.5,m,OK
2026-07-02T17:30:11Z,Velocity,8520.1,m/s,OK
2026-07-02T17:30:12Z,Engine1_Temperature,abc,K,OK
2026-07-02T17:30:13Z,Fuel_Tank_Pressure,46.0,bar,OK
2026-07-02T17:30:14Z,Engine2_Temperature,2450.1,K,OK
2026-07-02T17:30:15Z,Altitude,12600.0,m,OK

2026-07-02T17:30:16Z,Velocity,8535.7,m/s,OK
2026-07-02T17:30:17Z,Engine1_Pressure,127.9,bar,OK
2026-07-02T17:30:18Z,Engine1_Temperature,2453.8,K,OK
2026-07-02T17:30:19Z,Engine2_Temperature,2447.3,K,OK
2026-07-02T17:30:20Z,Engine1_Temperature,2451.8,K,OK
2026-07-02T17:30:21Z,Engine1_Pressure,128.4,bar,OK
2026-07-02T17:30:22Z,Fuel_Tank_Pressure,44.8,bar,OK
2026-07-02T17:30:23Z,Altitude,12650.2,m,OK
2026-07-02T17:30:24Z,Velocity,8550.0,m/s,OK
2026-07-02T17:30:25Z,Engine2_Temperature,2448.2,K,OK
2026-07-02T17:30:26Z,Engine1_Temperature,2454.5,K,OK
2026-07-02T17:30:27Z,Engine1_Pressure,129.5,bar,WARNING
2026-07-02T17:30:28Z,Altitude,12700.8,m,OK
2026-07-02T17:30:29Z,Velocity,8575.4,m/s,OK
2026-07-02T17:30:30Z,Engine2_Temperature,2449.0,K,OK
